Exercise_A,Exercise_B,Prerequisite_avg,rule_weight
vertex_of_a_parabola,solving_quadratics_by_taking_the_square_root,5.846153846,0.60576923075
vertex_of_a_parabola,completing_the_square_1,5.461538462,0.55769230775
vertex_of_a_parabola,graphing_parabolas_1,6.230769231,0.653846153875
vertex_of_a_parabola,parabola_intuition_3,4.538461538,0.44230769225
solving_quadratics_by_taking_the_square_root,solving_quadratics_by_factoring,6.444444444,0.6805555555
solving_quadratics_by_taking_the_square_root,completing_the_square_1,7.0,0.75
identifying_points_2,functions_1,4.7,0.4625
identifying_points_2,graphing_points,7.2,0.775
identifying_points_2,interpreting_linear_equations,6.8,0.725
identifying_points_2,identifying_points_1,8.1,0.8875
identifying_points_2,linear_equations_1,4.4,0.425
identifying_points_1,graphing_points,8.0,0.875
identifying_points_1,interpreting_linear_equations,3.777777778,0.34722222225
identifying_points_1,slope_of_a_line,2.333333333,0.166666666625
identifying_points_1,graphing_points_2,7.444444444,0.8055555555
identifying_points_1,linear_equations_1,3.222222222,0.27777777775
creating_box_and_whisker_plots,average_word_problems,5.272727273,0.534090909125
creating_box_and_whisker_plots,mean_median_and_mode,6.0,0.625
creating_box_and_whisker_plots,exploring_mean_and_median,5.090909091,0.511363636375
systems_of_equations_with_substitution,solutions_to_systems_of_equations,7.333333333,0.791666666625
systems_of_equations_with_substitution,graphing_systems_of_equations,5.0,0.5
systems_of_equations_with_substitution,systems_of_equations_word_problems,4.333333333,0.4166666666249999
systems_of_equations_with_substitution,systems_of_equations,8.222222222,0.90277777775
systems_of_equations_with_substitution,graphing_linear_equations,4.111111111,0.3888888888749999
domain_and_range_0.5,functions_1,5.777777778,0.59722222225
domain_and_range_0.5,linear_equations_3,4.0,0.375
domain_and_range_0.5,functions_2,4.555555556,0.4444444445
functions_2,functions_1,8.2,0.8999999999999999
functions_2,linear_equations_2,4.4,0.425
functions_2,linear_equations_3,3.6,0.325
functions_2,even_and_odd_functions,5.3,0.5375
functions_2,domain_and_range_0.5,6.6,0.7
recognizing_conic_sections,parabola_intuition_1,3.769230769,0.346153846125
evaluating_expressions_2,linear_equations_1,5.222222222,0.52777777775
evaluating_expressions_2,evaluating_expressions_1,8.444444444,0.9305555555
mean_median_and_mode,exploring_mean_and_median,4.4,0.425
mean_median_and_mode,creating_box_and_whisker_plots,4.3,0.4125
mean_median_and_mode,parabola_intuition_3,1.6,0.075
exploring_mean_and_median,mean_median_and_mode,6.818181818,0.72727272725
slope_of_a_line,identifying_points_2,5.8,0.6
slope_of_a_line,interpreting_linear_equations,5.8,0.6
slope_of_a_line,systems_of_equations_word_problems,3.5,0.3125
scaling_vectors,adding_vectors,5.75,0.59375
scaling_vectors,linear_equations_1,2.875,0.234375
scaling_vectors,systems_of_equations_with_elimination_0.5,3.25,0.28125
scaling_vectors,exploring_mean_and_median,3.25,0.28125
permutations_1,linear_equations_1,3.6,0.325
permutations_1,counting_1,3.6,0.325
permutations_1,counting_2,5.5,0.5625
permutations_1,graphing_systems_of_equations,2.5,0.1875
